h3,population,Intensity,population_class,colors
88398361cdfffff,139.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839836159fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814dd1fffff,12.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814dbbfffff,17.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839836127fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839836113fffff,337.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
883982a499fffff,9079.0,V (Moderate),5000 - 10000,"(0.8035294117647058, 0.6058054594386775, 0.5880430603613995, 1.0)"
8839814db7fffff,578.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983606dfffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839835b3bfffff,841.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814db5fffff,3.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814db1fffff,110.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983475dfffff,25.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983474bfffff,182.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839834731fffff,32.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814da5fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814da1fffff,7.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398346bbfffff,117.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835b39fffff,1058.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
8839814d95fffff,402.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d91fffff,74.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835b31fffff,3417.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
8839835b15fffff,229.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814d41fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835ab7fffff,418.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839835ab5fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839835ab3fffff,1479.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
8839814d3dfffff,18.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d39fffff,117.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d37fffff,37.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839834595fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839834565fffff,660.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398344c1fffff,60.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d33fffff,36.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398344b1fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398359d3fffff,25.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814d2dfffff,5.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d21fffff,37.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d1dfffff,14.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398358ebfffff,89.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398358c9fffff,270.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814d15fffff,318.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814d05fffff,80.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398358c5fffff,1076.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
88398356ebfffff,356.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983569bfffff,1.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
88398355e5fffff,109.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
