h3,population,Intensity,population_class,colors
88398871c7fffff,1379.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398d9ae7fffff,7154.0,II - III (Weak),5000 - 10000,"(0.9288273740868896, 0.670718954248366, 0.6310726643598616, 1.0)"
88398871c3fffff,183.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d9abdfffff,3342.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d9aadfffff,352.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d9aabfffff,21001.0,II - III (Weak),20000 - 50000,"(0.6386005382545175, 0.4616455209534794, 0.510234525182622, 1.0)"
88398d9aa9fffff,4544.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d9aa5fffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398871c1fffff,25.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d9a35fffff,11.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d985bfffff,13.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d8d49fffff,9.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839887197fffff,192.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d8d41fffff,351.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839887195fffff,5.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d88b7fffff,904.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d88b3fffff,652.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d82d3fffff,48.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839887193fffff,10.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d82b3fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d815bfffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d80d9fffff,1033.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d80cbfffff,1426.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
883988718dfffff,255.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
883988718bfffff,173.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839ab2699fffff,11.0,,0 - 1000,"(0.5156862745098039, 0.5745098039215686, 0.6803921568627451, 1.0)"
8839ab22c3fffff,258.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839ab2099fffff,4088.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d555dfffff,603.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d5559fffff,18.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839887189fffff,2105.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398d5263fffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d5259fffff,15.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d5257fffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d524bfffff,39.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d520bfffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839887183fffff,8.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d5187fffff,9.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d4f6dfffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d4eb5fffff,1177.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d4e53fffff,254.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d4e05fffff,141.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d4737fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
8839887181fffff,14.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d4713fffff,1513.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398d4535fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d4467fffff,260.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d433bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d4315fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398870b7fffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398d42e7fffff,923.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d42e5fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d42e3fffff,4772.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398870a5fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d42a9fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398d429dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8f1bfffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839887097fffff,1081.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398c8f19fffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8f17fffff,16.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8f13fffff,20.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8ee5fffff,20.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839887093fffff,57.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8eabfffff,19.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8ea7fffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8dddfffff,111.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f69fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8dd7fffff,428.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8db3fffff,11.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8da7fffff,94.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d9dfffff,205.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d9bfffff,18.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f67fffff,3.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8d87fffff,191.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d83fffff,102.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d59fffff,177.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d57fffff,416.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d1dfffff,470.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8d0bfffff,4.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cedfffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f47fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8ce9fffff,44.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cddfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cd5fffff,20.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cd3fffff,23.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f3bfffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8cc3fffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cc1fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cb3fffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f39fffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8cb1fffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8cadfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c9dfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c99fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c97fffff,25.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c83fffff,17.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f37fffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8c59fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c57fffff,30.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c55fffff,33.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c51fffff,16.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c4dfffff,31.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c45fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f35fffff,9.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8c43fffff,33.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c11fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c0dfffff,24.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f33fffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8c03fffff,197.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8c01fffff,36.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8b27fffff,50.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c892dfffff,21.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8929fffff,313.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f31fffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c8927fffff,8.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8911fffff,209.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c88d9fffff,532.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c888bfffff,385.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c8883fffff,561.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1751fffff,35.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f2dfffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1749fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c171dfffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1711fffff,149.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c16e7fffff,218.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f2bfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c16b7fffff,131.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c16a7fffff,154.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1693fffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c166dfffff,30.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1665fffff,30.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1663fffff,16.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f27fffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1661fffff,42.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c165dfffff,14.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1657fffff,11.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f23fffff,6.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c81a5fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c164dfffff,13.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1647fffff,14.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1641fffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c163bfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1639fffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886f07fffff,4.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1633fffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c14ddfffff,60.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c14d7fffff,18.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c14c9fffff,397.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c14c3fffff,344.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e67fffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c14b9fffff,89.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1481fffff,269.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c146dfffff,1626.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c1469fffff,386.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e63fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1463fffff,165.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1461fffff,414.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c145bfffff,396.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1443fffff,615.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e61fffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1441fffff,247.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c143bfffff,264.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1439fffff,1101.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c1429fffff,607.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1417fffff,1040.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c1415fffff,1370.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
8839886e53fffff,25.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1411fffff,841.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1409fffff,1223.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c1407fffff,1420.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
8839886e1bfffff,54.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1ae7fffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1aa5fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1a81fffff,48.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e19fffff,7.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1a6dfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1a61fffff,83.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1a13fffff,40.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19dbfffff,10.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19d9fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e13fffff,2591.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398c19b9fffff,8.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19adfffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19abfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19a5fffff,65.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19a3fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c19a1fffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886e11fffff,8.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c199dfffff,15.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1999fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c198dfffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1987fffff,4.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886d63fffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1983fffff,4.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1981fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1969fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1947fffff,130.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1943fffff,323.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886d5bfffff,2.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c18e9fffff,41.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c18d7fffff,25.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c18b5fffff,9.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c18b1fffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c18a5fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c189dfffff,145.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886d55fffff,15.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1899fffff,117.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c188bfffff,21.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1857fffff,67.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1853fffff,50.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
8839886d53fffff,3.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c1829fffff,1039.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c1821fffff,49.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c1813fffff,215.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
